symptoms,illness,department
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau ngực-khó thở,Đau tim,Tim mạch
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
khó thở-đau ngực,Đau thắt ngực,Tim mạch
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau ngực-khó thở,Đau tim,Tim mạch
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
đau lưng-đau cơ,Căng cơ,Chỉnh hình
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
sốt-đau cơ,Cúm,Nội tổng quát
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
khó thở-đau ngực,Đau thắt ngực,Tim mạch
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
phát ban ngứa-sưng da,Viêm da,Da liễu
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
phát ban ngứa-sưng da,Viêm da,Da liễu
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
khó thở-đau ngực,Đau thắt ngực,Tim mạch
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau ngực-khó thở,Đau tim,Tim mạch
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
phát ban ngứa-sưng da,Viêm da,Da liễu
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau ngực-khó thở,Đau tim,Tim mạch
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
sốt-đau cơ,Cúm,Nội tổng quát
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau ngực-khó thở,Đau tim,Tim mạch
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
khó thở-đau ngực,Đau thắt ngực,Tim mạch
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
ngứa da-mẩn đỏ,Viêm da,Da liễu
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau lưng-đau cơ,Căng cơ,Chỉnh hình
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau lưng-đau cơ,Căng cơ,Chỉnh hình
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
ngứa da-mẩn đỏ,Viêm da,Da liễu
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
phát ban ngứa-sưng da,Viêm da,Da liễu
đau lưng-đau cơ,Căng cơ,Chỉnh hình
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau họng-sốt-ho,Cúm,Y khoa tổng quát
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau ngực-khó thở,Đau tim,Tim mạch
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
phát ban ngứa-sưng da,Viêm da,Da liễu
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
đau lưng-đau cơ,Căng cơ,Chỉnh hình
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
ngứa da-mẩn đỏ,Viêm da,Da liễu
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
sốt-đau cơ,Cúm,Nội tổng quát
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
phát ban ngứa-sưng da,Viêm da,Da liễu
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
sốt-đau cơ,Cúm,Nội tổng quát
đau lưng-đau cơ,Căng cơ,Chỉnh hình
phát ban ngứa-sưng da,Viêm da,Da liễu
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
