symptoms,illness,department
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
sốt-đau cơ,Cúm,Nội tổng quát
khó thở-đau ngực,Đau thắt ngực,Tim mạch
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
sốt-đau cơ,Cúm,Nội tổng quát
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau lưng-đau cơ,Căng cơ,Chỉnh hình
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
khó thở-đau ngực,Đau thắt ngực,Tim mạch
phát ban ngứa-sưng da,Viêm da,Da liễu
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
sốt-đau cơ,Cúm,Nội tổng quát
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
phát ban ngứa-sưng da,Viêm da,Da liễu
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau ngực-khó thở,Đau tim,Tim mạch
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
phát ban ngứa-sưng da,Viêm da,Da liễu
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
đau ngực-khó thở,Đau tim,Tim mạch
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau họng-sốt-ho,Cúm,Y khoa tổng quát
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau họng-sốt-ho,Cúm,Y khoa tổng quát
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
phát ban ngứa-sưng da,Viêm da,Da liễu
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
ngứa da-mẩn đỏ,Viêm da,Da liễu
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
sốt-đau cơ,Cúm,Nội tổng quát
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau ngực-khó thở,Đau tim,Tim mạch
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
khó thở-đau ngực,Đau thắt ngực,Tim mạch
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
ngứa da-mẩn đỏ,Viêm da,Da liễu
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
ngứa da-mẩn đỏ,Viêm da,Da liễu
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau ngực-khó thở,Đau tim,Tim mạch
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
sốt-đau cơ,Cúm,Nội tổng quát
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
khó thở-đau ngực,Đau thắt ngực,Tim mạch
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
sốt-đau cơ,Cúm,Nội tổng quát
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau họng-sốt-ho,Cúm,Y khoa tổng quát
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
ngứa da-mẩn đỏ,Viêm da,Da liễu
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
khó thở-đau ngực,Đau thắt ngực,Tim mạch
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau ngực-khó thở,Đau tim,Tim mạch
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
đau lưng-đau cơ,Căng cơ,Chỉnh hình
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
phát ban ngứa-sưng da,Viêm da,Da liễu
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau ngực-khó thở,Đau tim,Tim mạch
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
khó thở-đau ngực,Đau thắt ngực,Tim mạch
ngứa da-mẩn đỏ,Viêm da,Da liễu
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
phát ban ngứa-sưng da,Viêm da,Da liễu
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
ngứa da-mẩn đỏ,Viêm da,Da liễu
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
sốt-đau cơ,Cúm,Nội tổng quát
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
ngứa da-mẩn đỏ,Viêm da,Da liễu
phát ban ngứa-sưng da,Viêm da,Da liễu
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
khó thở-đau ngực,Đau thắt ngực,Tim mạch
sốt-đau cơ,Cúm,Nội tổng quát
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
ngứa da-mẩn đỏ,Viêm da,Da liễu
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
