symptoms,illness,department
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
ngứa da-mẩn đỏ,Viêm da,Da liễu
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
đau ngực-khó thở,Đau tim,Tim mạch
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau ngực-khó thở,Đau tim,Tim mạch
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
phát ban ngứa-sưng da,Viêm da,Da liễu
phát ban ngứa-sưng da,Viêm da,Da liễu
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
phát ban ngứa-sưng da,Viêm da,Da liễu
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
phát ban ngứa-sưng da,Viêm da,Da liễu
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
ngứa da-mẩn đỏ,Viêm da,Da liễu
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
ngứa da-mẩn đỏ,Viêm da,Da liễu
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
ngứa da-mẩn đỏ,Viêm da,Da liễu
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
sốt-đau cơ,Cúm,Nội tổng quát
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
khó thở-đau ngực,Đau thắt ngực,Tim mạch
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
đau ngực-khó thở,Đau tim,Tim mạch
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
phát ban ngứa-sưng da,Viêm da,Da liễu
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
đau ngực-khó thở,Đau tim,Tim mạch
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau họng-sốt-ho,Cúm,Y khoa tổng quát
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
đau lưng-đau cơ,Căng cơ,Chỉnh hình
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
ngứa da-mẩn đỏ,Viêm da,Da liễu
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau lưng-đau cơ,Căng cơ,Chỉnh hình
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
hen suyễn-bệnh phổi-viêm đường hô hấp,Bệnh hô hấp,Nội hô hấp
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
ngứa da-mẩn đỏ,Viêm da,Da liễu
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
ngứa da-mẩn đỏ,Viêm da,Da liễu
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau họng-sốt-ho,Cúm,Y khoa tổng quát
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau lưng-đau cơ,Căng cơ,Chỉnh hình
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
đau ngực-khó thở,Đau tim,Tim mạch
khám tuyến vú-u vú-viêm nhiễm âm đạo,Bệnh phụ khoa,Phụ khoa
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
đau lưng-đau cơ,Căng cơ,Chỉnh hình
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
sốt-đau cơ,Cúm,Nội tổng quát
sốt-đau cơ,Cúm,Nội tổng quát
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
sốt-đau cơ,Cúm,Nội tổng quát
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
mờ mắt-đau mắt,Tăng nhãn áp,Mắt
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
sốt-đau cơ,Cúm,Nội tổng quát
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
đau ngực-khó thở,Đau tim,Tim mạch
sốt-ho-ngứa họng,Viêm phổi,Nhi khoa
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
ngứa da-mẩn đỏ,Viêm da,Da liễu
phát ban ngứa-sưng da,Viêm da,Da liễu
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
khó thở-đau ngực,Đau thắt ngực,Tim mạch
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
thiếu vi chất-suy dinh dưỡng-thừa cân,Dinh dưỡng kém,Dinh dưỡng
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
sốt-đau cơ,Cúm,Nội tổng quát
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau ngực-khó thở,Đau tim,Tim mạch
đau bụng-đầy hơi,Đau dạ dày,Tiêu hóa
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
bệnh tuyến giáp-tiểu đường,Bệnh tuyến giáp,Nội tổng quát
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
đau mỏi cơ-vẹo cổ-tập vận động,Đau mỏi cơ,Vật lý trị liệu
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
sâu răng trẻ em-trám răng-viêm lợi,Bệnh răng miệng,Răng
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau lưng-đau cơ,Căng cơ,Chỉnh hình
đau đầu-chóng mặt-mệt mỏi,Đau nửa đầu,Thần kinh
đau ngực-ho-khó thở,Viêm phổi,Hô hấp
dị ứng-mẩn ngứa-mụn,Dị ứng,Dị ứng
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
ngứa da-mẩn đỏ,Viêm da,Da liễu
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
đau tim-khó thở-mệt mỏi,Suy tim,Tim mạch
đau họng-mất giọng-ho,Viêm thanh quản,Tai mũi họng
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
đau họng-sốt-ho,Cúm,Y khoa tổng quát
sốt-đau cơ,Cúm,Nội tổng quát
đau bụng-tiêu chảy-nôn mửa,Ngộ độc thực phẩm,Tiêu hóa
parkinson-đau đầu-động kinh,Bệnh thần kinh,Nội thần kinh
buồn nôn-đau bụng,Ngộ độc thực phẩm,Tiêu hóa
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau tai-mất thính lực,Viêm tai ngoài,Tai mũi họng
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau ngực-khó thở,Đau tim,Tim mạch
ngứa mắt-chảy nước mắt,Viêm kết mạc,Mắt
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
đau lưng-mỏi cơ,Thoái hóa đốt sống,Chấn thương chỉnh hình
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
gãy chân-tay-xương đòn,Gãy xương,Ngoại chấn thương chỉnh hình
khám thai định kì-dọa sảy thai-nhiễm độc thai nghén,Khám thai,Khám thai
ngứa mũi-hắt hơi-nghẹt mũi,Viêm xoang,Tai mũi họng
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
đau bụng-tiêu chảy,Nhiễm trùng dạ dày,Tiêu hóa
đau tai-mất thính lực,Viêm tai giữa,Tai mũi họng
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
đau lưng-có kèm tê tay chân-thoát vị đĩa đệm,Thoát vị đĩa đệm,Ngoại thần kinh
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
sốt-đau cơ,Cúm,Nội tổng quát
